Date,Index PE Ratio
2025-12-01,15.037436054461606
2026-01-17,18.46041357077659
2026-01-22,18.416555180151875
2026-01-23,18.37932917582778
2026-02-01,17.52596079244143
2026-02-06,17.424917762989196
2026-02-11,18.09996585925056
2026-02-19,18.24004071453546
2026-02-21,18.16681616691981
2026-02-27,18.018471101265355
2026-03-02,18.315835550215915
2026-03-03,18.315835550215915
2026-03-04,18.97360088218193
2026-03-06,18.953933228808097
2026-03-09,18.93419453144558
2026-03-10,18.45582848296845
2026-03-11,18.40088876720979
2026-03-13,18.23346758980428
2026-03-14,18.1946402515542
2026-03-16,18.3858956750265
2026-03-17,18.674523157169897
2026-03-19,19.181335347869588
2026-03-20,19.18228817791746
2026-03-23,19.3253607174592
2026-03-25,19.188111399081027
2026-03-27,18.9894199648258
2026-03-29,18.963383771569568
2026-03-30,18.16442817853506
2026-04-01,17.85779741736656
2026-04-03,18.0578790841989
2026-04-06,18.924413338851203
2026-04-07,18.95489459599565
2026-04-10,19.79125987810113
2026-04-14,19.733550514920854
2026-04-16,19.76075958885948
2026-04-18,19.47953550509444
2026-04-21,19.5914617130258
2026-04-24,19.284824808333266
2026-04-27,19.168803594704016
2026-04-29,18.77737520954029
2026-05-01,19.164123994900564
2026-05-08,18.802384242436293
2026-05-09,18.802384242436293
2026-05-11,18.922149737408123
2026-05-13,18.890884153654746
2026-05-15,19.682772969356453
2026-05-19,18.73052261023371
2026-05-21,18.59604235043097
2026-06-12,19.28536111877171
2026-06-19,18.985593348926365
2026-06-22,19.109892105021963
2026-06-29,18.019942452267788
2026-07-03,18.52705807936213
2026-07-21,17.846958547181508
2026-07-25,18.48438001403309
2026-07-31,19.15053966307036
2026-08-14,23.572085758166445
2026-08-17,23.3403745006427
2026-08-18,23.23918313385717
2026-08-21,22.1472199938354
2026-08-26,21.611868744710485
2026-08-28,22.28063345637952
